X Y u mu P v dvdx dudx dvdy dudy
9.5986824820146502e-008 -9.886611799411876e-005 22.3474789 1.80470179e-005 80.9448242 -16.3595295 -23486.7852 79329.0469 -79604.9141 -22289.5137
2.2248385757079706e-006 -0.0001004140472865531 22.5471592 1.80504685e-005 76.9826202 -16.284193 -21478.4395 78219.0859 -78528.6328 -20013.3164
4.3634859543659058e-006 -0.0001019484791187784 22.7436028 1.80541574e-005 73.0748138 -16.2109013 -19433.8027 77072.875 -77395.7344 -17805.8828
6.436898914343556e-006 -0.00010341689690363648 22.9319878 1.8056533e-005 69.3903503 -16.1374874 -17409.4395 75920.9688 -76189.4375 -15631.7207
8.5269151106397339e-006 -0.00010487832957434326 23.1037865 1.80562456e-005 66.2414017 -16.0527935 -15879.2734 75340.7266 -75358.3828 -13386.2803
1.0747448569705893e-005 -0.00010641117614841657 23.2831078 1.80562238e-005 62.8088531 -15.9683399 -14361.6504 74868.6875 -74753.0859 -11062.043
1.2977176453607207e-005 -0.0001079305658720311 23.4618111 1.80563784e-005 59.3664932 -15.8847427 -12884.5801 74414.4063 -74175.125 -8769.21387
1.5216242436543447e-005 -0.00010943710909368113 23.6276817 1.80589595e-005 56.1945915 -15.799201 -11903.9131 74000.0078 -73762.7969 -6932.34961
1.7463809277204846e-005 -0.000110930693388909 23.7952518 1.8061286e-005 52.9609566 -15.7150021 -10875.9951 73598.2813 -73350.3672 -5045.53174
1.9727185730117361e-005 -0.00011241639057171472 23.9618225 1.80632924e-005 49.7230225 -15.6330719 -9761.39648 72937.8672 -72709.6484 -3288.02856
2.2017847267463494e-005 -0.0001139015012429542 24.1215401 1.80601473e-005 47.1024361 -15.5409679 -7657.19189 70206.2734 -70096.1797 -2255.3457
2.4316876795130921e-005 -0.00011537348079817733 24.2817554 1.80569532e-005 44.450737 -15.4498129 -5548.82227 67488.4531 -67494.5703 -1213.79724
2.6624148160763644e-005 -0.00011683284115733366 24.4339714 1.80550705e-005 41.8643341 -15.3631287 -4226.56738 65865.3359 -65881.0078 216.238312
2.8939140511909164e-005 -0.00011828010488248319 24.5810947 1.80540319e-005 39.3117714 -15.279645 -3417.45972 64962.4453 -64917.3281 1902.93848
3.1268106711135289e-005 -0.00011971970120282349 24.730381 1.80525221e-005 36.5581207 -15.2010937 -2284.42529 64117.1602 -63894.6406 3518.43481
3.3744945539928371e-005 -0.00012123353566511977 24.8771267 1.8053177e-005 33.7384033 -15.1188354 -1514.40881 63902.7461 -63472.3711 5223.3042
3.6091096360847758e-005 -0.0001226512229211866 25.0059814 1.80526786e-005 31.3436947 -15.0243692 124.686493 62245.7383 -61705.6406 5176.70996
3.8445432909694321e-005 -0.00012405711457515715 25.1280136 1.80503921e-005 29.1956215 -14.9131718 2807.80713 58953.1992 -58393.3086 3460.85547
4.0811671895562319e-005 -0.00012545355061342305 25.2600269 1.80483166e-005 27.3068409 -14.8233137 3757.90015 57594.1016 -57148.0117 4285.92334
