X Y u mu P v dvdx dudx dvdy dudy
5.1226640958406412e-007 0.000174676659379033 3.9731257 1.81735923e-005 541.920349 0.221063167 27416.1465 -38966.6172 38966.0703 27484.2422
2.468797270061567e-006 0.00017480113046102789 3.90101171 1.81763189e-005 542.272339 0.279887199 27809.3105 -38722.9727 38721.6211 27877.916
4.4232300750716888e-006 0.00017495782503487267 3.82984948 1.81790692e-005 542.619263 0.339938313 28198.6641 -38472.418 38470.2617 28267.748
6.3751698471726736e-006 0.00017514888935822544 3.76067042 1.81817777e-005 542.898743 0.403037459 28575.0645 -38195.9063 38193.1836 28642.2422
8.3805521007086271e-006 0.00017538368150856934 3.6921165 1.81845608e-005 543.148804 0.469536811 28942.5215 -37902.5742 37899.2969 29007.1367
1.0381333482465358e-005 0.000175659033074313 3.62495995 1.81873656e-005 543.391785 0.537448049 29303.4434 -37601.6875 37597.8516 29365.5176
1.2376525263631692e-005 0.00017597686667553732 3.55942154 1.81901869e-005 543.626648 0.606993675 29655.6895 -37291.2969 37286.832 29715.4648
1.4365441054138018e-005 0.00017633978271033461 3.49728084 1.81928954e-005 543.845337 0.680627644 29976.3145 -36948.3672 36942.4375 30036.9766
1.6346044640430782e-005 0.00017675002463601343 3.43671918 1.81956402e-005 544.056152 0.755593538 30290.9102 -36599.1836 36591.8594 30352.2012
1.8316942839150739e-005 0.00017720920104463285 3.37793803 1.81984142e-005 544.258057 0.832055867 30597.6211 -36242.2344 36233.5273 30659.4648
2.0277508709387785e-005 0.00017771854818932718 3.32414675 1.82007443e-005 544.392944 0.909063995 30847.4805 -35894.5938 35885.7617 30928.1348
2.2313468841065219e-005 0.00017830558824361982 3.27084994 1.82020722e-005 544.481812 0.992467403 31053.5332 -35517.9336 35510.5508 31189.291
2.4333711724327476e-005 0.00017894983407706604 3.21989369 1.82034764e-005 544.559509 1.07735646 31250.125 -35133.9531 35128.0039 31439.5156
2.6336338039973366e-005 0.00017965206425955089 3.1714108 1.8204948e-005 544.62561 1.16373074 31435.8125 -34742.7148 34738.1523 31677.957
2.8320096807607449e-005 0.00018041324250938815 3.12767005 1.8205772e-005 544.670288 1.25324845 31553.1113 -34341.0859 34336.2422 31882.4395
3.0282203773188033e-005 0.00018123335156001275 3.08649492 1.82066869e-005 544.703125 1.34409869 31660.8926 -33932.7148 33927.5977 32075.1055
3.2220838166210218e-005 0.00018211199327800666 3.04796839 1.82076874e-005 544.723328 1.43615568 31758.5176 -33518.6094 33513.25 32255.5488
3.4239093251192909e-005 0.00018309964400206385 3.01422668 1.82073909e-005 544.652222 1.53038514 31755.7441 -33146.0664 33141.4297 32409.0273
3.6225597102909583e-005 0.00018414519769081419 2.98343277 1.8202918e-005 544.549622 1.626315 31612.6191 -32796.4805 32794.7813 32553.793
3.8179271742982698e-005 0.00018524700591200785 2.95553994 1.81988198e-005 544.435181 1.72303116 31467.3008 -32440.9316 32442.0313 32684.7832
4.0099254131674617e-005 0.00018640282306985051 2.93081307 1.81944724e-005 544.307922 1.82049584 31300.1094 -32085.6543 32089.0625 32800.8867
4.1984851428265297e-005 0.00018760990441042311 2.91046619 1.81873093e-005 544.162415 1.91885269 31029.1914 -31755.1465 31758.9004 32896.9375
4.3836410336519326e-005 0.0001888658887527526 2.89276886 1.81806008e-005 544.006592 2.01771069 30759.9141 -31418.9824 31423.0117 32980.3828
4.5677253848079685e-005 0.00019018409006596703 2.87847137 1.81730757e-005 543.801208 2.11493158 30440.3066 -31121.877 31126.6523 33057.6328
4.7571538351130733e-005 0.00019161117987841637 2.86786866 1.81620562e-005 543.538757 2.21414804 29968.9316 -30881.8359 30886.8164 33133.8047
4.9433979296744702e-005 0.00019308327445514614 2.85998416 1.81481446e-005 543.259644 2.31320739 29353.873 -30687.6582 30691.8789 33210.082
5.1262870820520414e-005 0.00019459565901473852 2.85391283 1.8132263e-005 542.966492 2.41182709 28619.7266 -30530.6504 30533.6738 33289.7813
5.3058888885280986e-005 0.00019614560706971654 2.85012054 1.81172036e-005 542.665771 2.51068664 27907.6563 -30363.1113 30364.9844 33356.8086
5.4823316220662679e-005 0.00019773037188298783 2.84944844 1.81016221e-005 542.351685 2.6085403 27005.3809 -30269.2402 30269.0547 33429.8672
5.658789311619775e-005 0.00019937566560781074 2.85100889 1.8086439e-005 542.010132 2.70650744 26071.0586 -30194.8516 30192.8477 33501.6367
5.8399877876401531e-005 0.00020112520389966988 2.85520744 1.80711868e-005 541.594849 2.80300164 25010.7695 -30204.7988 30201.8438 33594.1641
6.0182875012124919e-005 0.00020290377521589432 2.86132216 1.80567567e-005 541.172913 2.89934134 23942.1758 -30218.4473 30214.7559 33680.1563
6.1938570799348558e-005 0.00020470926084225347 2.86961865 1.80436255e-005 540.740173 2.99409914 22680.3242 -30315.6797 30312.2988 33784.5586
6.3668233282427976e-005 0.00020653939369067381 2.87951136 1.80311163e-005 540.302612 3.08895564 21447.1016 -30400.834 30397.793 33878.5352
6.5372965747665957e-005 0.0002083925608492455 2.89091372 1.80191964e-005 539.860657 3.18389058 20241.1875 -30474.5371 30471.8633 33962.6289
6.708494581511893e-005 0.00021030221316617391 2.90380383 1.80080842e-005 539.403564 3.27985311 18969.916 -30568.6719 30566.5078 34049.5273
6.8852383333664206e-005 0.00021232061342112615 2.91755724 1.80002171e-005 538.852539 3.36809945 17111.6055 -30970.8652 30968.9707 34252.2422
7.0598313041413067e-005 0.00021435743731724666 2.93267608 1.79925955e-005 538.298767 3.45686245 15326.3779 -31341.5234 31339.8887 34438.4336
7.2323662924060866e-005 0.00021641163718703814 2.94906855 1.79852577e-005 537.742188 3.54594183 13595.6426 -31689.5332 31688.1367 34611.8281
7.4029326021814314e-005 0.00021848218133282578 2.96666956 1.79781928e-005 537.182922 3.63531518 11916.8096 -32016.002 32014.8242 34773.0586
7.5716967876435091e-005 0.00022056842189505457 2.98498368 1.79722374e-005 536.61731 3.7220614 10023.9023 -32450.0762 32448.8203 34973.8242
7.7387318426807786e-005 0.0002226686793192368 3.00430131 1.79666113e-005 536.049011 3.80873299 8147.41846 -32879.4453 32878.0625 35169.5977
7.9068683348244129e-005 0.00022481576278679955 3.02411628 1.79616945e-005 535.420532 3.88945413 6153.81201 -33423.3281 33422.3711 35419.9453
8.0811437306975919e-005 0.0002270732132824343 3.04564452 1.79568397e-005 534.753418 3.97288966 4093.18896 -33993.4844 33993.0547 35681.4063
8.2539537741945485e-005 0.00022934253219462897 3.06771636 1.79524704e-005 534.082947 4.05509806 1958.16406 -34605.5586 34605.5078 35959.3516
8.4254045387393737e-005 0.00023162298707431566 3.09010339 1.79487142e-005 533.408447 4.13535595 -310.403412 -35289.4922 35289.6094 36267.0469
8.5955202348551515e-005 0.00023391328654120435 3.11346316 1.79449598e-005 532.733337 4.21662283 -2476.68604 -35924.707 35925.0586 36551.707
8.7643292717032363e-005 0.00023621292940791328 3.13790917 1.79410799e-005 532.058289 4.29947662 -4494.84375 -36487.6953 36488.4023 36803.0859
8.9344736849108317e-005 0.00023855617815030184 3.16253734 1.79376657e-005 531.334656 4.3775444 -6595.62744 -37140.3906 37141.0352 37101.9102
9.1114928929231153e-005 0.00024101804743268304 3.18775535 1.79347808e-005 530.557556 4.4540267 -8993.49512 -37954.8555 37955.1328 37478.3203
9.2874731729262013e-005 0.00024348788362628463 3.21325731 1.79321669e-005 529.778381 4.5296073 -11435.501 -38796.582 38796.4453 37866.7852
9.4624447436131813e-005 0.00024596498843506187 3.23938918 1.79296439e-005 528.998291 4.60550785 -13835.4766 -39619.4219 39618.875 38245.6445
9.636447020160427e-005 0.00024844903552107803 3.26612449 1.79272101e-005 528.217285 4.6817131 -16195.1191 -40424.1445 40423.1953 38615.2891
9.8099090649949634e-005 0.00025094520109695184 3.29266143 1.79251765e-005 527.433044 4.75656509 -18648.459 -41270.3047 41269.0039 39000.7539
9.9847368875778225e-005 0.0002534789947781132 3.31771994 1.79236213e-005 526.607849 4.82391405 -21349.5938 -42295.6172 42294.2578 39484.0195
0.00010167365048150263 0.00025614260540144404 3.34442544 1.79220733e-005 525.721497 4.89275503 -24080.1504 -43349.1016 43347.9922 39986.4492
0.00010349243173689513 0.00025881137433613036 3.37169957 1.79205599e-005 524.834717 4.96208477 -26762.9258 -44380.3359 44379.4727 40477.9883
0.00010530396988174106 0.00026148510849774914 3.39952278 1.79190811e-005 523.947388 5.03188658 -29399.5957 -45390.0938 45389.4844 40959.0195
0.00010710851327783495 0.00026416362297814377 3.42787528 1.79176332e-005 523.059692 5.10214281 -31991.7715 -46379.1289 46378.7773 41429.9063
0.00010890704444078546 0.00026684746667095065 3.45530772 1.7916409e-005 522.169434 5.16924238 -34741.8555 -47464.1914 47463.9844 41951.0156
0.00011071978226724906 0.00026956534385011801 3.48210549 1.7915354e-005 521.246033 5.23215485 -37545.0703 -48619.8906 48619.6563 42519.2383
0.00011261842235348637 0.00027242381168814079 3.50963545 1.7914379e-005 520.252808 5.29414225 -40461.8906 -49863.8516 49863.4453 43142.8203
0.00011451165367059927 0.00027528527769172227 3.53835559 1.79133531e-005 519.260254 5.35832548 -43252.8828 -51036.418 51035.8125 43728.4258
0.00011639954991824635 0.00027814979675436392 3.56814241 1.79122871e-005 518.268127 5.42442179 -45932.2305 -52146.1133 52145.3008 44280.6875
0.00011828299722334008 0.00028101825134399495 3.59716082 1.79113467e-005 517.274414 5.4882102 -48711.4414 -53320.3828 53319.3945 44868.8984
0.00012016218066666421 0.00028389019198264676 3.62574697 1.79104991e-005 516.27948 5.55050468 -51550.8867 -54535.0234 54533.8867 45479.8359
0.00012205620606742434 0.00028679389687339275 3.65408039 1.79097333e-005 515.255737 5.61008644 -54372.6484 -55775.7109 55774.5898 46115.9297
0.00012404348664548067 0.00028984868893153269 3.68304038 1.79090421e-005 514.155823 5.66832495 -57291.9336 -57103.3359 57102.4336 46811.6914
0.00012602744736912294 0.00029290570302898175 3.71228647 1.79083618e-005 513.055725 5.72686434 -60185.7148 -58418.5039 58417.8203 47501.2344
0.00012800801950622946 0.00029596468346459797 3.74222612 1.79076651e-005 511.955902 5.78658772 -63014.8281 -59696.3984 59695.9414 48170.3789
0.0001299857478044641 0.00029902620178240337 3.77160096 1.79070339e-005 510.855072 5.84479952 -65900.0625 -61013.1836 61012.9453 48862.5586
0.00013196048387744327 0.00030208970342147326 3.80125928 1.790641e-005 509.754089 5.90333939 -68759.8125 -62317.1563 62317.1406 49548.2266
0.00013395065814095778 0.00030518317691878734 3.83066463 1.79058497e-005 508.627045 5.95950603 -71586.3594 -63636.6836 63636.7227 50254.2578
0.00013604184403206163 0.00030843868925461076 3.8606813 1.79053513e-005 507.418518 6.01420975 -74487.9063 -65036.8828 65036.7578 51020.7695
0.00013813112260732191 0.00031169551143930206 3.89088106 1.79048566e-005 506.2099 6.06912613 -77373.0703 -66428.8438 66428.5469 51783.0938
0.00014021920323015731 0.00031495442925591645 3.91954112 1.79044491e-005 504.999664 6.12078762 -80381.1563 -67904.6953 67904.2266 52596.1719
0.00014230521909250983 0.00031821392127068151 3.94951534 1.79039926e-005 503.790375 6.17496157 -83281.6797 -69311.5781 69310.9453 53368.7344
0.00014438943672442616 0.00032147447319033287 3.97990346 1.79035287e-005 502.581238 6.22982931 -86147.3438 -70697.7266 70696.9219 54129.5703
0.00014648960760781687 0.0003247633693553216 4.01004076 1.79031122e-005 501.347595 6.28252172 -88963.6563 -72089.8203 72088.8828 54906.8555
0.00014869899621083082 0.00032822565264308765 4.0408802 1.79027465e-005 500.027802 6.33389521 -91829.7422 -73552.4063 73551.3594 55742.9922
0.00015090782976889502 0.00033168868176370421 4.07141495 1.79023973e-005 498.707672 6.3846364 -94715.1641 -75029.6719 75028.5625 56588.6719
0.00015311671923229066 0.00033515316365837768 4.10003519 1.7902119e-005 497.385834 6.43168592 -97729.9297 -76598.0781 76597.1172 57491.625
0.00015532478452866787 0.00033861759542214235 4.12968874 1.79018061e-005 496.064789 6.48066521 -100673.133 -78117.5469 78116.625 58364.2734
0.00015753190320218327 0.00034208194563788581 4.16056299 1.79014569e-005 494.744598 6.53192759 -103531.773 -79579.1328 79578.1328 59201.0781
0.00015975545508642653 0.00034557313568906877 4.1911974 1.79011458e-005 493.400909 6.5811305 -106321.039 -81036.25 81035.2656 60050.2578
0.00016209695243684304 0.00034924947223870999 4.22270203 1.79008748e-005 491.966919 6.62935925 -109135.594 -82552.0703 82551.2188 60954.8594
0.00016443922415643341 0.00035292626896478446 4.25301313 1.79006347e-005 490.532013 6.67545271 -112020 -84118.6953 84118.0781 61892.5
0.00016678236276516367 0.00035660352970986195 4.28200054 1.79004273e-005 489.0961 6.71917677 -114981.984 -85741.6953 85741.4219 62866.7891
0.00016912584128816598 0.00036028039395570192 4.31140757 1.79002072e-005 487.660522 6.76368284 -117921.406 -87347.1563 87347.2031 63829.3164
0.00017146918519584555 0.00036395628140226919 4.34257507 1.7899938e-005 486.226257 6.81138992 -120761.008 -88878.25 88878.4453 64742.8984
0.00017382943542142436 0.00036765759872732539 4.37355709 1.78997052e-005 484.76889 6.85714102 -123503.906 -90391.4219 90391.7734 65663.7109
0.00017631692798125663 0.00037155621945479379 4.4056406 1.78995033e-005 483.217285 6.90240335 -126251.664 -91951.9219 91952.4453 66636.0391
0.00017880636676454936 0.00037545499778215432 4.43580103 1.78993341e-005 481.664398 6.94442272 -129097.688 -93586.6719 93587.1328 67658.3359
0.00018129745192346227 0.00037935341455211721 4.46506262 1.78991777e-005 480.110962 6.98496056 -131993 -95256.8828 95257.1719 68703.8672
0.00018378988144798693 0.0003832510302307395 4.49435377 1.7899014e-005 478.557648 7.02561092 -134893.094 -96927.3828 96927.5313 69748.4688
0.00018628299432489848 0.00038714696672945159 4.52566862 1.78988066e-005 477.005768 7.06979322 -137702.234 -98522.6172 98522.9297 70740.2109
0.00018879350818905562 0.00039106699962143221 4.55693197 1.78986302e-005 475.431091 7.11219549 -140376.813 -100081.422 100081.773 71731.5703
0.00019144118117722552 0.00039519688774374684 4.58954811 1.78984774e-005 473.758301 7.15465021 -143043.359 -101679.102 101679.344 72771.1016
0.00019409186766104389 0.0003993265963926722 4.6196537 1.78983573e-005 472.083984 7.19307756 -145822.828 -103365.289 103365.297 73872.3594
0.00019674498013645572 0.00040345523985336139 4.64912415 1.78982373e-005 470.409393 7.23054266 -148640.375 -105076.539 105076.289 74989.375
0.00019940033095890321 0.00040758260535481985 4.67844057 1.78981118e-005 468.734863 7.26783276 -151476.563 -106796.453 106795.969 76110.3125
0.00020205721818906383 0.00041170774064554455 4.70977497 1.78979499e-005 467.061768 7.30849552 -154244.516 -108451.516 108450.914 77181.9375
0.00020473204402882947 0.00041585570477046022 4.74133015 1.78978171e-005 465.366028 7.34772444 -156826.719 -110043.867 110043.156 78241.7344
0.00020755461227606463 0.0004202264612076001 4.7744627 1.78977007e-005 463.568207 7.38751316 -159399.391 -111671.523 111670.68 79348.3672
0.00021038119931608815 0.00042459665618976123 4.80462027 1.78976115e-005 461.768707 7.42273998 -162092.063 -113396.398 113395.805 80525.1094
0.00021321101671661227 0.0004289651707360367 4.83425045 1.78975188e-005 459.969086 7.45721579 -164822.953 -115143.805 115143.453 81714.9297
0.00021604389630568654 0.00043333185073143876 4.86372805 1.78974187e-005 458.169556 7.49152327 -167579.25 -116902.188 116902.047 82909.0703
0.00021887922425337401 0.00043769586611118385 4.89496517 1.78972896e-005 456.371307 7.52863979 -170296.938 -118613.164 118612.891 84062.9609
0.00022173309474963536 0.00044208150582893656 4.92690229 1.78971914e-005 454.550781 7.56495476 -172761.531 -120225.594 120225.305 85188.3594
0.00022474603538733321 0.0004467032963726596 4.96043825 1.7897104e-005 452.623901 7.60202742 -175233 -121880.82 121880.578 86365.6172
0.00022776390428083738 0.00045132399128349193 4.99086237 1.78970349e-005 450.695404 7.63453054 -177819.438 -123632.016 123631.672 87613.8125
0.00023078588599155557 0.00045594250570395439 5.02060795 1.78969622e-005 448.766724 7.66606903 -180454.656 -125412.023 125411.578 88878.7578
0.00023381171544895561 0.00046055854706091427 5.05035734 1.78968803e-005 446.838318 7.69765329 -183119.797 -127201.906 127201.406 90145.2656
0.00023684098196303567 0.00046517157654123328 5.08137751 1.78967766e-005 444.910889 7.73116159 -185780.406 -128966.695 128966.266 91385.1016
0.00023988948709854243 0.00046980509480779839 5.11387587 1.78967039e-005 442.961945 7.76491928 -188099.844 -130584.008 130583.609 92572.2422
0.00024310911965312945 0.00047468843007237866 5.14788771 1.78966366e-005 440.902069 7.79947519 -190457.016 -132259.344 132258.969 93819.9219
0.00024633462416911279 0.00047957013696815331 5.17860746 1.78965838e-005 438.840546 7.82937765 -192927.531 -134031.078 134030.641 95140.5156
0.00024956516704582128 0.00048444917483315508 5.20842361 1.78965274e-005 436.778778 7.85799503 -195459.438 -135839.938 135839.438 96483.1797
0.00025280033428145871 0.00048932501769424872 5.23852539 1.78964583e-005 434.717499 7.88700104 -198026.906 -137656.422 137655.906 97822.6328
0.00025604002105412895 0.00049419756298820319 5.26919651 1.78963746e-005 432.65683 7.91679716 -200623.641 -139473.484 139472.984 99152.8203
0.00025929976404745285 0.00049908954361202636 5.30252934 1.78963219e-005 430.57605 7.94846201 -202767.313 -141077.828 141077.313 100396.133
0.00026274344712290003 0.00050424525596593449 5.33711767 1.78962691e-005 428.379303 7.98069143 -204998.453 -142766.031 142765.5 101714.063
0.00026619402053034601 0.00050939883050866064 5.36811161 1.78962273e-005 426.180786 8.00801659 -207345.391 -144554.516 144554.047 103109.57
0.00026965060462998911 0.00051454923118258902 5.39794016 1.78961818e-005 423.981995 8.03368568 -209767.063 -146389.281 146388.859 104533.219
0.00027311260519046181 0.00051969563158547557 5.42843246 1.78961218e-005 421.783905 8.06014824 -212233.234 -148229.875 148229.469 105947.813
0.00027658031654848709 0.00052483848878122623 5.45859766 1.78960508e-005 419.585999 8.08607769 -214760.047 -150098.125 150097.688 107373.477
0.00028006905733756767 0.00052999983217487401 5.49314642 1.78960145e-005 417.37027 8.11624146 -216694.484 -151668.469 151668.047 108665.234
0.00028375533488277712 0.00053543901442239966 5.5283885 1.78959745e-005 415.032837 8.1462698 -218789.844 -153363.219 153362.844 110053.969
0.00028744960856822577 0.00054087555867724792 5.5596199 1.78959399e-005 412.693512 8.17100048 -221005.891 -155165.094 155164.688 111527.586
0.00029115092546076255 0.00054630840132397548 5.58938074 1.78959035e-005 410.35379 8.19365597 -223310.781 -157023.297 157022.844 113036.242
0.00029485848730393478 0.00055173635569377277 5.62025261 1.78958489e-005 408.015106 8.21750546 -225673.969 -158886.875 158886.453 114529.422
0.0002985867689353351 0.00055718045758356501 5.65044308 1.78957926e-005 405.667114 8.24016094 -228069.781 -160777.203 160776.828 116044.023
0.00030252744715243398 0.00056291868764353817 5.68800306 1.78957653e-005 403.185913 8.27034092 -229919.016 -162409.328 162409.031 117465.875
0.00030647669877805698 0.00056865246712111848 5.7237134 1.78957343e-005 400.704193 8.29791927 -231876.656 -164111.031 164110.813 118931.492
0.00031043509152772064 0.00057438303397557022 5.75502348 1.78957071e-005 398.220459 8.31985664 -233959.828 -165925.984 165925.859 120488.758
0.00031440138398190732 0.00058010891096192609 5.78538418 1.78956725e-005 395.736725 8.34028625 -236140.438 -167793.109 167793.063 122072.406
0.00031837532103675759 0.00058582966836741475 5.81572104 1.7895627e-005 393.253418 8.36031437 -238411.734 -169696.328 169696.344 123665
0.0003223709939996532 0.00059156532853670777 5.84688187 1.7895587e-005 390.761383 8.38097668 -240556.578 -171537.969 171538.047 125234.383
0.00032659479851692818 0.00059761012439965328 5.88523102 1.78955652e-005 388.132874 8.40913963 -242245.297 -173161.5 173161.578 126728.063
0.00033082842888681346 0.00060364985183251928 5.92131042 1.78955397e-005 385.503662 8.43414307 -244059.031 -174867.219 174867.281 128274.68
0.00033507240544829165 0.00060968571082811837 5.95266438 1.78955179e-005 382.872375 8.45323849 -246004.203 -176691.672 176691.797 129918.5
0.00033932522354627136 0.00061571580494410765 5.98364067 1.78954851e-005 380.241486 8.47132587 -248062.938 -178567.453 178567.594 131580.453
0.00034358730573542755 0.00062174063492489193 6.01304436 1.78954469e-005 377.61026 8.48705864 -250240.328 -180513.188 180513.313 133282.297
0.00034787235442256757 0.00062777926071993237 6.04589891 1.78954178e-005 374.973053 8.50678062 -252089.75 -182273.734 182273.813 134890.938
